,date,strike,prob,ttm
0,2024-12-27,5207.095114128922,1.4302869999482937e-10,7
1,2024-12-27,5234.8532436768,6.992594281385323e-10,7
2,2024-12-27,5262.611373224679,3.1862068539112443e-09,7
3,2024-12-27,5290.369502772556,1.3545312205209823e-08,7
4,2024-12-27,5318.127632320434,5.3781702868960224e-08,7
5,2024-12-27,5345.885761868311,1.9964253039628233e-07,7
6,2024-12-27,5373.64389141619,6.935516214667814e-07,7
7,2024-12-27,5401.402020964068,2.2570328831461595e-06,7
8,2024-12-27,5429.160150511945,6.88729399633825e-06,7
9,2024-12-27,5456.918280059823,1.9725206995557798e-05,7
10,2024-12-27,5484.676409607701,5.307130653731118e-05,7
11,2024-12-27,5512.434539155579,0.00013426380683390082,7
12,2024-12-27,5540.192668703457,0.00031967423091294744,7
13,2024-12-27,5567.950798251334,0.0007169474292753053,7
14,2024-12-27,5595.708927799213,0.0015159073855464111,7
15,2024-12-27,5623.46705734709,0.003024347336769595,7
16,2024-12-27,5651.225186894968,0.005698043076537762,7
17,2024-12-27,5678.9833164428455,0.010146350845155583,7
18,2024-12-27,5706.741445990724,0.01708963853471479,7
19,2024-12-27,5734.499575538602,0.02724817275781966,7
20,2024-12-27,5762.257705086479,0.04115855005618929,7
21,2024-12-27,5790.015834634358,0.05894293340424416,7
22,2024-12-27,5817.773964182235,0.08008985694724835,7
23,2024-12-27,5845.532093730113,0.10332772905012222,7
24,2024-12-27,5873.290223277991,0.1266671120148668,7
25,2024-12-27,5901.048352825869,0.14764785281554732,7
26,2024-12-27,5928.806482373747,0.16376085800386947,7
27,2024-12-27,5956.564611921624,0.17294621629567475,7
28,2024-12-27,5984.322741469503,0.17402966282778765,7
29,2024-12-27,6012.080871017381,0.166968709897057,7
30,2024-12-27,6039.839000565258,0.15283753797857103,7
31,2024-12-27,6067.597130113136,0.13356323156263294,7
32,2024-12-27,6095.355259661013,0.11150130347641374,7
33,2024-12-27,6123.113389208892,0.08897721066495323,7
34,2024-12-27,6150.87151875677,0.06791233956420595,7
35,2024-12-27,6178.629648304647,0.04960786847712584,7
